country,forecast_origin,true_values,predictions,forecast_dates
Brazil,2022-07-07,"[72050.0, 71114.0, 43657.0, 21963.0, 44043.0, 64048.0, 72224.0, 65379.00000000001, 107959.0, 40149.0, 10852.0, 38697.0, 57999.0, 56480.0, 51433.0, 49798.99999999999, 0.0, 35830.0, 30609.0, 37914.0, 44514.0, 44592.0, 41713.0, 22889.0, 20313.0, 22064.0, 34464.0, 33633.0]","[32658.776332608246, 32753.509332900045, 32848.52143484062, 32848.52116565887, 32943.32938005747, 33038.13332305497, 33092.80990536567, 33116.62697051493, 33183.42268473392, 33277.208911114896, 33371.38677261019, 33466.13924643315, 33561.064814724545, 33624.731027389826, 33653.45551755511, 33717.62278273213, 33812.548986254376, 33907.24168203356, 34002.21118164366, 34097.434166760955, 34154.596595742405, 34164.017340590035, 34218.371115558526, 34304.27121023647, 34387.63788201575, 34462.437752314705, 34534.2607632792, 34534.26089209663]","[Timestamp('2022-07-07 00:00:00'), Timestamp('2022-07-08 00:00:00'), Timestamp('2022-07-09 00:00:00'), Timestamp('2022-07-10 00:00:00'), Timestamp('2022-07-11 00:00:00'), Timestamp('2022-07-12 00:00:00'), Timestamp('2022-07-13 00:00:00'), Timestamp('2022-07-14 00:00:00'), Timestamp('2022-07-15 00:00:00'), Timestamp('2022-07-16 00:00:00'), Timestamp('2022-07-17 00:00:00'), Timestamp('2022-07-18 00:00:00'), Timestamp('2022-07-19 00:00:00'), Timestamp('2022-07-20 00:00:00'), Timestamp('2022-07-21 00:00:00'), Timestamp('2022-07-22 00:00:00'), Timestamp('2022-07-23 00:00:00'), Timestamp('2022-07-24 00:00:00'), Timestamp('2022-07-25 00:00:00'), Timestamp('2022-07-26 00:00:00'), Timestamp('2022-07-27 00:00:00'), Timestamp('2022-07-28 00:00:00'), Timestamp('2022-07-29 00:00:00'), Timestamp('2022-07-30 00:00:00'), Timestamp('2022-07-31 00:00:00'), Timestamp('2022-08-01 00:00:00'), Timestamp('2022-08-02 00:00:00'), Timestamp('2022-08-03 00:00:00')]"
Brazil,2022-07-08,"[71114.0, 43657.0, 21963.0, 44043.0, 64048.0, 72224.0, 65379.00000000001, 107959.0, 40149.0, 10852.0, 38697.0, 57999.0, 56480.0, 51433.0, 49798.99999999999, 0.0, 35830.0, 30609.0, 37914.0, 44514.0, 44592.0, 41713.0, 22889.0, 20313.0, 22064.0, 34464.0, 33633.0, 40433.0]","[32658.776332608246, 32753.509332900045, 32848.52143484062, 32848.52116565887, 32943.32938005747, 33038.13332305497, 33092.80990536567, 33116.62697051493, 33183.42268473392, 33277.208911114896, 33371.38677261019, 33466.13924643315, 33561.064814724545, 33624.731027389826, 33653.45551755511, 33717.62278273213, 33812.548986254376, 33907.24168203356, 34002.21118164366, 34097.434166760955, 34154.596595742405, 34164.017340590035, 34218.371115558526, 34304.27121023647, 34387.63788201575, 34462.437752314705, 34534.2607632792, 34534.26089209663]","[Timestamp('2022-07-08 00:00:00'), Timestamp('2022-07-09 00:00:00'), Timestamp('2022-07-10 00:00:00'), Timestamp('2022-07-11 00:00:00'), Timestamp('2022-07-12 00:00:00'), Timestamp('2022-07-13 00:00:00'), Timestamp('2022-07-14 00:00:00'), Timestamp('2022-07-15 00:00:00'), Timestamp('2022-07-16 00:00:00'), Timestamp('2022-07-17 00:00:00'), Timestamp('2022-07-18 00:00:00'), Timestamp('2022-07-19 00:00:00'), Timestamp('2022-07-20 00:00:00'), Timestamp('2022-07-21 00:00:00'), Timestamp('2022-07-22 00:00:00'), Timestamp('2022-07-23 00:00:00'), Timestamp('2022-07-24 00:00:00'), Timestamp('2022-07-25 00:00:00'), Timestamp('2022-07-26 00:00:00'), Timestamp('2022-07-27 00:00:00'), Timestamp('2022-07-28 00:00:00'), Timestamp('2022-07-29 00:00:00'), Timestamp('2022-07-30 00:00:00'), Timestamp('2022-07-31 00:00:00'), Timestamp('2022-08-01 00:00:00'), Timestamp('2022-08-02 00:00:00'), Timestamp('2022-08-03 00:00:00'), Timestamp('2022-08-04 00:00:00')]"
Brazil,2022-07-09,"[43657.0, 21963.0, 44043.0, 64048.0, 72224.0, 65379.00000000001, 107959.0, 40149.0, 10852.0, 38697.0, 57999.0, 56480.0, 51433.0, 49798.99999999999, 0.0, 35830.0, 30609.0, 37914.0, 44514.0, 44592.0, 41713.0, 22889.0, 20313.0, 22064.0, 34464.0, 33633.0, 40433.0, 29975.999999999996]","[32658.776332608246, 32753.509332900045, 32848.52143484062, 32848.52116565887, 32943.32938005747, 33038.13332305497, 33092.80990536567, 33116.62697051493, 33183.42268473392, 33277.208911114896, 33371.38677261019, 33466.13924643315, 33561.064814724545, 33624.731027389826, 33653.45551755511, 33717.62278273213, 33812.548986254376, 33907.24168203356, 34002.21118164366, 34097.434166760955, 34154.596595742405, 34164.017340590035, 34218.371115558526, 34304.27121023647, 34387.63788201575, 34462.437752314705, 34534.2607632792, 34534.26089209663]","[Timestamp('2022-07-09 00:00:00'), Timestamp('2022-07-10 00:00:00'), Timestamp('2022-07-11 00:00:00'), Timestamp('2022-07-12 00:00:00'), Timestamp('2022-07-13 00:00:00'), Timestamp('2022-07-14 00:00:00'), Timestamp('2022-07-15 00:00:00'), Timestamp('2022-07-16 00:00:00'), Timestamp('2022-07-17 00:00:00'), Timestamp('2022-07-18 00:00:00'), Timestamp('2022-07-19 00:00:00'), Timestamp('2022-07-20 00:00:00'), Timestamp('2022-07-21 00:00:00'), Timestamp('2022-07-22 00:00:00'), Timestamp('2022-07-23 00:00:00'), Timestamp('2022-07-24 00:00:00'), Timestamp('2022-07-25 00:00:00'), Timestamp('2022-07-26 00:00:00'), Timestamp('2022-07-27 00:00:00'), Timestamp('2022-07-28 00:00:00'), Timestamp('2022-07-29 00:00:00'), Timestamp('2022-07-30 00:00:00'), Timestamp('2022-07-31 00:00:00'), Timestamp('2022-08-01 00:00:00'), Timestamp('2022-08-02 00:00:00'), Timestamp('2022-08-03 00:00:00'), Timestamp('2022-08-04 00:00:00'), Timestamp('2022-08-05 00:00:00')]"
Brazil,2022-07-10,"[21963.0, 44043.0, 64048.0, 72224.0, 65379.00000000001, 107959.0, 40149.0, 10852.0, 38697.0, 57999.0, 56480.0, 51433.0, 49798.99999999999, 0.0, 35830.0, 30609.0, 37914.0, 44514.0, 44592.0, 41713.0, 22889.0, 20313.0, 22064.0, 34464.0, 33633.0, 40433.0, 29975.999999999996, 16703.0]","[32658.776332608246, 32753.509332900045, 32848.52143484062, 32848.52116565887, 32943.32938005747, 33038.13332305497, 33092.80990536567, 33116.62697051493, 33183.42268473392, 33277.208911114896, 33371.38677261019, 33466.13924643315, 33561.064814724545, 33624.731027389826, 33653.45551755511, 33717.62278273213, 33812.548986254376, 33907.24168203356, 34002.21118164366, 34097.434166760955, 34154.596595742405, 34164.017340590035, 34218.371115558526, 34304.27121023647, 34387.63788201575, 34462.437752314705, 34534.2607632792, 34534.26089209663]","[Timestamp('2022-07-10 00:00:00'), Timestamp('2022-07-11 00:00:00'), Timestamp('2022-07-12 00:00:00'), Timestamp('2022-07-13 00:00:00'), Timestamp('2022-07-14 00:00:00'), Timestamp('2022-07-15 00:00:00'), Timestamp('2022-07-16 00:00:00'), Timestamp('2022-07-17 00:00:00'), Timestamp('2022-07-18 00:00:00'), Timestamp('2022-07-19 00:00:00'), Timestamp('2022-07-20 00:00:00'), Timestamp('2022-07-21 00:00:00'), Timestamp('2022-07-22 00:00:00'), Timestamp('2022-07-23 00:00:00'), Timestamp('2022-07-24 00:00:00'), Timestamp('2022-07-25 00:00:00'), Timestamp('2022-07-26 00:00:00'), Timestamp('2022-07-27 00:00:00'), Timestamp('2022-07-28 00:00:00'), Timestamp('2022-07-29 00:00:00'), Timestamp('2022-07-30 00:00:00'), Timestamp('2022-07-31 00:00:00'), Timestamp('2022-08-01 00:00:00'), Timestamp('2022-08-02 00:00:00'), Timestamp('2022-08-03 00:00:00'), Timestamp('2022-08-04 00:00:00'), Timestamp('2022-08-05 00:00:00'), Timestamp('2022-08-06 00:00:00')]"
Brazil,2022-07-11,"[44043.0, 64048.0, 72224.0, 65379.00000000001, 107959.0, 40149.0, 10852.0, 38697.0, 57999.0, 56480.0, 51433.0, 49798.99999999999, 0.0, 35830.0, 30609.0, 37914.0, 44514.0, 44592.0, 41713.0, 22889.0, 20313.0, 22064.0, 34464.0, 33633.0, 40433.0, 29975.999999999996, 16703.0, 7197.999999999999]","[32658.776332608246, 32753.509332900045, 32848.52143484062, 32848.52116565887, 32943.32938005747, 33038.13332305497, 33092.80990536567, 33116.62697051493, 33183.42268473392, 33277.208911114896, 33371.38677261019, 33466.13924643315, 33561.064814724545, 33624.731027389826, 33653.45551755511, 33717.62278273213, 33812.548986254376, 33907.24168203356, 34002.21118164366, 34097.434166760955, 34154.596595742405, 34164.017340590035, 34218.371115558526, 34304.27121023647, 34387.63788201575, 34462.437752314705, 34534.2607632792, 34534.26089209663]","[Timestamp('2022-07-11 00:00:00'), Timestamp('2022-07-12 00:00:00'), Timestamp('2022-07-13 00:00:00'), Timestamp('2022-07-14 00:00:00'), Timestamp('2022-07-15 00:00:00'), Timestamp('2022-07-16 00:00:00'), Timestamp('2022-07-17 00:00:00'), Timestamp('2022-07-18 00:00:00'), Timestamp('2022-07-19 00:00:00'), Timestamp('2022-07-20 00:00:00'), Timestamp('2022-07-21 00:00:00'), Timestamp('2022-07-22 00:00:00'), Timestamp('2022-07-23 00:00:00'), Timestamp('2022-07-24 00:00:00'), Timestamp('2022-07-25 00:00:00'), Timestamp('2022-07-26 00:00:00'), Timestamp('2022-07-27 00:00:00'), Timestamp('2022-07-28 00:00:00'), Timestamp('2022-07-29 00:00:00'), Timestamp('2022-07-30 00:00:00'), Timestamp('2022-07-31 00:00:00'), Timestamp('2022-08-01 00:00:00'), Timestamp('2022-08-02 00:00:00'), Timestamp('2022-08-03 00:00:00'), Timestamp('2022-08-04 00:00:00'), Timestamp('2022-08-05 00:00:00'), Timestamp('2022-08-06 00:00:00'), Timestamp('2022-08-07 00:00:00')]"
Brazil,2022-07-12,"[64048.0, 72224.0, 65379.00000000001, 107959.0, 40149.0, 10852.0, 38697.0, 57999.0, 56480.0, 51433.0, 49798.99999999999, 0.0, 35830.0, 30609.0, 37914.0, 44514.0, 44592.0, 41713.0, 22889.0, 20313.0, 22064.0, 34464.0, 33633.0, 40433.0, 29975.999999999996, 16703.0, 7197.999999999999, 17409.0]","[32658.776332608246, 32753.509332900045, 32848.52143484062, 32848.52116565887, 32943.32938005747, 33038.13332305497, 33092.80990536567, 33116.62697051493, 33183.42268473392, 33277.208911114896, 33371.38677261019, 33466.13924643315, 33561.064814724545, 33624.731027389826, 33653.45551755511, 33717.62278273213, 33812.548986254376, 33907.24168203356, 34002.21118164366, 34097.434166760955, 34154.596595742405, 34164.017340590035, 34218.371115558526, 34304.27121023647, 34387.63788201575, 34462.437752314705, 34534.2607632792, 34534.26089209663]","[Timestamp('2022-07-12 00:00:00'), Timestamp('2022-07-13 00:00:00'), Timestamp('2022-07-14 00:00:00'), Timestamp('2022-07-15 00:00:00'), Timestamp('2022-07-16 00:00:00'), Timestamp('2022-07-17 00:00:00'), Timestamp('2022-07-18 00:00:00'), Timestamp('2022-07-19 00:00:00'), Timestamp('2022-07-20 00:00:00'), Timestamp('2022-07-21 00:00:00'), Timestamp('2022-07-22 00:00:00'), Timestamp('2022-07-23 00:00:00'), Timestamp('2022-07-24 00:00:00'), Timestamp('2022-07-25 00:00:00'), Timestamp('2022-07-26 00:00:00'), Timestamp('2022-07-27 00:00:00'), Timestamp('2022-07-28 00:00:00'), Timestamp('2022-07-29 00:00:00'), Timestamp('2022-07-30 00:00:00'), Timestamp('2022-07-31 00:00:00'), Timestamp('2022-08-01 00:00:00'), Timestamp('2022-08-02 00:00:00'), Timestamp('2022-08-03 00:00:00'), Timestamp('2022-08-04 00:00:00'), Timestamp('2022-08-05 00:00:00'), Timestamp('2022-08-06 00:00:00'), Timestamp('2022-08-07 00:00:00'), Timestamp('2022-08-08 00:00:00')]"
Brazil,2022-07-13,"[72224.0, 65379.00000000001, 107959.0, 40149.0, 10852.0, 38697.0, 57999.0, 56480.0, 51433.0, 49798.99999999999, 0.0, 35830.0, 30609.0, 37914.0, 44514.0, 44592.0, 41713.0, 22889.0, 20313.0, 22064.0, 34464.0, 33633.0, 40433.0, 29975.999999999996, 16703.0, 7197.999999999999, 17409.0, 30220.0]","[32658.776332608246, 32753.509332900045, 32848.52143484062, 32848.52116565887, 32943.32938005747, 33038.13332305497, 33092.80990536567, 33116.62697051493, 33183.42268473392, 33277.208911114896, 33371.38677261019, 33466.13924643315, 33561.064814724545, 33624.731027389826, 33653.45551755511, 33717.62278273213, 33812.548986254376, 33907.24168203356, 34002.21118164366, 34097.434166760955, 34154.596595742405, 34164.017340590035, 34218.371115558526, 34304.27121023647, 34387.63788201575, 34462.437752314705, 34534.2607632792, 34534.26089209663]","[Timestamp('2022-07-13 00:00:00'), Timestamp('2022-07-14 00:00:00'), Timestamp('2022-07-15 00:00:00'), Timestamp('2022-07-16 00:00:00'), Timestamp('2022-07-17 00:00:00'), Timestamp('2022-07-18 00:00:00'), Timestamp('2022-07-19 00:00:00'), Timestamp('2022-07-20 00:00:00'), Timestamp('2022-07-21 00:00:00'), Timestamp('2022-07-22 00:00:00'), Timestamp('2022-07-23 00:00:00'), Timestamp('2022-07-24 00:00:00'), Timestamp('2022-07-25 00:00:00'), Timestamp('2022-07-26 00:00:00'), Timestamp('2022-07-27 00:00:00'), Timestamp('2022-07-28 00:00:00'), Timestamp('2022-07-29 00:00:00'), Timestamp('2022-07-30 00:00:00'), Timestamp('2022-07-31 00:00:00'), Timestamp('2022-08-01 00:00:00'), Timestamp('2022-08-02 00:00:00'), Timestamp('2022-08-03 00:00:00'), Timestamp('2022-08-04 00:00:00'), Timestamp('2022-08-05 00:00:00'), Timestamp('2022-08-06 00:00:00'), Timestamp('2022-08-07 00:00:00'), Timestamp('2022-08-08 00:00:00'), Timestamp('2022-08-09 00:00:00')]"
Brazil,2022-07-14,"[65379.00000000001, 107959.0, 40149.0, 10852.0, 38697.0, 57999.0, 56480.0, 51433.0, 49798.99999999999, 0.0, 35830.0, 30609.0, 37914.0, 44514.0, 44592.0, 41713.0, 22889.0, 20313.0, 22064.0, 34464.0, 33633.0, 40433.0, 29975.999999999996, 16703.0, 7197.999999999999, 17409.0, 30220.0, 0.0]","[32658.776332608246, 32753.509332900045, 32848.52143484062, 32848.52116565887, 32943.32938005747, 33038.13332305497, 33092.80990536567, 33116.62697051493, 33183.42268473392, 33277.208911114896, 33371.38677261019, 33466.13924643315, 33561.064814724545, 33624.731027389826, 33653.45551755511, 33717.62278273213, 33812.548986254376, 33907.24168203356, 34002.21118164366, 34097.434166760955, 34154.596595742405, 34164.017340590035, 34218.371115558526, 34304.27121023647, 34387.63788201575, 34462.437752314705, 34534.2607632792, 34534.26089209663]","[Timestamp('2022-07-14 00:00:00'), Timestamp('2022-07-15 00:00:00'), Timestamp('2022-07-16 00:00:00'), Timestamp('2022-07-17 00:00:00'), Timestamp('2022-07-18 00:00:00'), Timestamp('2022-07-19 00:00:00'), Timestamp('2022-07-20 00:00:00'), Timestamp('2022-07-21 00:00:00'), Timestamp('2022-07-22 00:00:00'), Timestamp('2022-07-23 00:00:00'), Timestamp('2022-07-24 00:00:00'), Timestamp('2022-07-25 00:00:00'), Timestamp('2022-07-26 00:00:00'), Timestamp('2022-07-27 00:00:00'), Timestamp('2022-07-28 00:00:00'), Timestamp('2022-07-29 00:00:00'), Timestamp('2022-07-30 00:00:00'), Timestamp('2022-07-31 00:00:00'), Timestamp('2022-08-01 00:00:00'), Timestamp('2022-08-02 00:00:00'), Timestamp('2022-08-03 00:00:00'), Timestamp('2022-08-04 00:00:00'), Timestamp('2022-08-05 00:00:00'), Timestamp('2022-08-06 00:00:00'), Timestamp('2022-08-07 00:00:00'), Timestamp('2022-08-08 00:00:00'), Timestamp('2022-08-09 00:00:00'), Timestamp('2022-08-10 00:00:00')]"
Brazil,2022-07-15,"[107959.0, 40149.0, 10852.0, 38697.0, 57999.0, 56480.0, 51433.0, 49798.99999999999, 0.0, 35830.0, 30609.0, 37914.0, 44514.0, 44592.0, 41713.0, 22889.0, 20313.0, 22064.0, 34464.0, 33633.0, 40433.0, 29975.999999999996, 16703.0, 7197.999999999999, 17409.0, 30220.0, 0.0, 58579.0]","[32658.776332608246, 32753.509332900045, 32848.52143484062, 32848.52116565887, 32943.32938005747, 33038.13332305497, 33092.80990536567, 33116.62697051493, 33183.42268473392, 33277.208911114896, 33371.38677261019, 33466.13924643315, 33561.064814724545, 33624.731027389826, 33653.45551755511, 33717.62278273213, 33812.548986254376, 33907.24168203356, 34002.21118164366, 34097.434166760955, 34154.596595742405, 34164.017340590035, 34218.371115558526, 34304.27121023647, 34387.63788201575, 34462.437752314705, 34534.2607632792, 34534.26089209663]","[Timestamp('2022-07-15 00:00:00'), Timestamp('2022-07-16 00:00:00'), Timestamp('2022-07-17 00:00:00'), Timestamp('2022-07-18 00:00:00'), Timestamp('2022-07-19 00:00:00'), Timestamp('2022-07-20 00:00:00'), Timestamp('2022-07-21 00:00:00'), Timestamp('2022-07-22 00:00:00'), Timestamp('2022-07-23 00:00:00'), Timestamp('2022-07-24 00:00:00'), Timestamp('2022-07-25 00:00:00'), Timestamp('2022-07-26 00:00:00'), Timestamp('2022-07-27 00:00:00'), Timestamp('2022-07-28 00:00:00'), Timestamp('2022-07-29 00:00:00'), Timestamp('2022-07-30 00:00:00'), Timestamp('2022-07-31 00:00:00'), Timestamp('2022-08-01 00:00:00'), Timestamp('2022-08-02 00:00:00'), Timestamp('2022-08-03 00:00:00'), Timestamp('2022-08-04 00:00:00'), Timestamp('2022-08-05 00:00:00'), Timestamp('2022-08-06 00:00:00'), Timestamp('2022-08-07 00:00:00'), Timestamp('2022-08-08 00:00:00'), Timestamp('2022-08-09 00:00:00'), Timestamp('2022-08-10 00:00:00'), Timestamp('2022-08-11 00:00:00')]"
Brazil,2022-07-16,"[40149.0, 10852.0, 38697.0, 57999.0, 56480.0, 51433.0, 49798.99999999999, 0.0, 35830.0, 30609.0, 37914.0, 44514.0, 44592.0, 41713.0, 22889.0, 20313.0, 22064.0, 34464.0, 33633.0, 40433.0, 29975.999999999996, 16703.0, 7197.999999999999, 17409.0, 30220.0, 0.0, 58579.0, 23552.0]","[32658.776332608246, 32753.509332900045, 32848.52143484062, 32848.52116565887, 32943.32938005747, 33038.13332305497, 33092.80990536567, 33116.62697051493, 33183.42268473392, 33277.208911114896, 33371.38677261019, 33466.13924643315, 33561.064814724545, 33624.731027389826, 33653.45551755511, 33717.62278273213, 33812.548986254376, 33907.24168203356, 34002.21118164366, 34097.434166760955, 34154.596595742405, 34164.017340590035, 34218.371115558526, 34304.27121023647, 34387.63788201575, 34462.437752314705, 34534.2607632792, 34534.26089209663]","[Timestamp('2022-07-16 00:00:00'), Timestamp('2022-07-17 00:00:00'), Timestamp('2022-07-18 00:00:00'), Timestamp('2022-07-19 00:00:00'), Timestamp('2022-07-20 00:00:00'), Timestamp('2022-07-21 00:00:00'), Timestamp('2022-07-22 00:00:00'), Timestamp('2022-07-23 00:00:00'), Timestamp('2022-07-24 00:00:00'), Timestamp('2022-07-25 00:00:00'), Timestamp('2022-07-26 00:00:00'), Timestamp('2022-07-27 00:00:00'), Timestamp('2022-07-28 00:00:00'), Timestamp('2022-07-29 00:00:00'), Timestamp('2022-07-30 00:00:00'), Timestamp('2022-07-31 00:00:00'), Timestamp('2022-08-01 00:00:00'), Timestamp('2022-08-02 00:00:00'), Timestamp('2022-08-03 00:00:00'), Timestamp('2022-08-04 00:00:00'), Timestamp('2022-08-05 00:00:00'), Timestamp('2022-08-06 00:00:00'), Timestamp('2022-08-07 00:00:00'), Timestamp('2022-08-08 00:00:00'), Timestamp('2022-08-09 00:00:00'), Timestamp('2022-08-10 00:00:00'), Timestamp('2022-08-11 00:00:00'), Timestamp('2022-08-12 00:00:00')]"
Brazil,2022-07-17,"[10852.0, 38697.0, 57999.0, 56480.0, 51433.0, 49798.99999999999, 0.0, 35830.0, 30609.0, 37914.0, 44514.0, 44592.0, 41713.0, 22889.0, 20313.0, 22064.0, 34464.0, 33633.0, 40433.0, 29975.999999999996, 16703.0, 7197.999999999999, 17409.0, 30220.0, 0.0, 58579.0, 23552.0, 0.0]","[32658.776332608246, 32753.509332900045, 32848.52143484062, 32848.52116565887, 32943.32938005747, 33038.13332305497, 33092.80990536567, 33116.62697051493, 33183.42268473392, 33277.208911114896, 33371.38677261019, 33466.13924643315, 33561.064814724545, 33624.731027389826, 33653.45551755511, 33717.62278273213, 33812.548986254376, 33907.24168203356, 34002.21118164366, 34097.434166760955, 34154.596595742405, 34164.017340590035, 34218.371115558526, 34304.27121023647, 34387.63788201575, 34462.437752314705, 34534.2607632792, 34534.26089209663]","[Timestamp('2022-07-17 00:00:00'), Timestamp('2022-07-18 00:00:00'), Timestamp('2022-07-19 00:00:00'), Timestamp('2022-07-20 00:00:00'), Timestamp('2022-07-21 00:00:00'), Timestamp('2022-07-22 00:00:00'), Timestamp('2022-07-23 00:00:00'), Timestamp('2022-07-24 00:00:00'), Timestamp('2022-07-25 00:00:00'), Timestamp('2022-07-26 00:00:00'), Timestamp('2022-07-27 00:00:00'), Timestamp('2022-07-28 00:00:00'), Timestamp('2022-07-29 00:00:00'), Timestamp('2022-07-30 00:00:00'), Timestamp('2022-07-31 00:00:00'), Timestamp('2022-08-01 00:00:00'), Timestamp('2022-08-02 00:00:00'), Timestamp('2022-08-03 00:00:00'), Timestamp('2022-08-04 00:00:00'), Timestamp('2022-08-05 00:00:00'), Timestamp('2022-08-06 00:00:00'), Timestamp('2022-08-07 00:00:00'), Timestamp('2022-08-08 00:00:00'), Timestamp('2022-08-09 00:00:00'), Timestamp('2022-08-10 00:00:00'), Timestamp('2022-08-11 00:00:00'), Timestamp('2022-08-12 00:00:00'), Timestamp('2022-08-13 00:00:00')]"
Brazil,2022-07-18,"[38697.0, 57999.0, 56480.0, 51433.0, 49798.99999999999, 0.0, 35830.0, 30609.0, 37914.0, 44514.0, 44592.0, 41713.0, 22889.0, 20313.0, 22064.0, 34464.0, 33633.0, 40433.0, 29975.999999999996, 16703.0, 7197.999999999999, 17409.0, 30220.0, 0.0, 58579.0, 23552.0, 0.0, 0.0]","[32658.776332608246, 32753.509332900045, 32848.52143484062, 32848.52116565887, 32943.32938005747, 33038.13332305497, 33092.80990536567, 33116.62697051493, 33183.42268473392, 33277.208911114896, 33371.38677261019, 33466.13924643315, 33561.064814724545, 33624.731027389826, 33653.45551755511, 33717.62278273213, 33812.548986254376, 33907.24168203356, 34002.21118164366, 34097.434166760955, 34154.596595742405, 34164.017340590035, 34218.371115558526, 34304.27121023647, 34387.63788201575, 34462.437752314705, 34534.2607632792, 34534.26089209663]","[Timestamp('2022-07-18 00:00:00'), Timestamp('2022-07-19 00:00:00'), Timestamp('2022-07-20 00:00:00'), Timestamp('2022-07-21 00:00:00'), Timestamp('2022-07-22 00:00:00'), Timestamp('2022-07-23 00:00:00'), Timestamp('2022-07-24 00:00:00'), Timestamp('2022-07-25 00:00:00'), Timestamp('2022-07-26 00:00:00'), Timestamp('2022-07-27 00:00:00'), Timestamp('2022-07-28 00:00:00'), Timestamp('2022-07-29 00:00:00'), Timestamp('2022-07-30 00:00:00'), Timestamp('2022-07-31 00:00:00'), Timestamp('2022-08-01 00:00:00'), Timestamp('2022-08-02 00:00:00'), Timestamp('2022-08-03 00:00:00'), Timestamp('2022-08-04 00:00:00'), Timestamp('2022-08-05 00:00:00'), Timestamp('2022-08-06 00:00:00'), Timestamp('2022-08-07 00:00:00'), Timestamp('2022-08-08 00:00:00'), Timestamp('2022-08-09 00:00:00'), Timestamp('2022-08-10 00:00:00'), Timestamp('2022-08-11 00:00:00'), Timestamp('2022-08-12 00:00:00'), Timestamp('2022-08-13 00:00:00'), Timestamp('2022-08-14 00:00:00')]"
Brazil,2022-07-19,"[57999.0, 56480.0, 51433.0, 49798.99999999999, 0.0, 35830.0, 30609.0, 37914.0, 44514.0, 44592.0, 41713.0, 22889.0, 20313.0, 22064.0, 34464.0, 33633.0, 40433.0, 29975.999999999996, 16703.0, 7197.999999999999, 17409.0, 30220.0, 0.0, 58579.0, 23552.0, 0.0, 0.0, 30109.0]","[32658.776332608246, 32753.509332900045, 32848.52143484062, 32848.52116565887, 32943.32938005747, 33038.13332305497, 33092.80990536567, 33116.62697051493, 33183.42268473392, 33277.208911114896, 33371.38677261019, 33466.13924643315, 33561.064814724545, 33624.731027389826, 33653.45551755511, 33717.62278273213, 33812.548986254376, 33907.24168203356, 34002.21118164366, 34097.434166760955, 34154.596595742405, 34164.017340590035, 34218.371115558526, 34304.27121023647, 34387.63788201575, 34462.437752314705, 34534.2607632792, 34534.26089209663]","[Timestamp('2022-07-19 00:00:00'), Timestamp('2022-07-20 00:00:00'), Timestamp('2022-07-21 00:00:00'), Timestamp('2022-07-22 00:00:00'), Timestamp('2022-07-23 00:00:00'), Timestamp('2022-07-24 00:00:00'), Timestamp('2022-07-25 00:00:00'), Timestamp('2022-07-26 00:00:00'), Timestamp('2022-07-27 00:00:00'), Timestamp('2022-07-28 00:00:00'), Timestamp('2022-07-29 00:00:00'), Timestamp('2022-07-30 00:00:00'), Timestamp('2022-07-31 00:00:00'), Timestamp('2022-08-01 00:00:00'), Timestamp('2022-08-02 00:00:00'), Timestamp('2022-08-03 00:00:00'), Timestamp('2022-08-04 00:00:00'), Timestamp('2022-08-05 00:00:00'), Timestamp('2022-08-06 00:00:00'), Timestamp('2022-08-07 00:00:00'), Timestamp('2022-08-08 00:00:00'), Timestamp('2022-08-09 00:00:00'), Timestamp('2022-08-10 00:00:00'), Timestamp('2022-08-11 00:00:00'), Timestamp('2022-08-12 00:00:00'), Timestamp('2022-08-13 00:00:00'), Timestamp('2022-08-14 00:00:00'), Timestamp('2022-08-15 00:00:00')]"
